Date,Price,Open,High,Low,Change %
01-12-1981,13.96,13.96,13.96,13.96,5.59%
01-11-1981,13.221,13.221,13.221,13.221,-9.51%
01-10-1981,14.611,14.611,14.611,14.611,-7.64%
01-09-1981,15.82,15.82,15.82,15.82,2.93%
01-08-1981,15.37,15.37,15.37,15.37,4.91%
01-07-1981,14.651,14.651,14.651,14.651,5.78%
01-06-1981,13.85,13.85,13.85,13.85,3.34%
01-05-1981,13.402,13.402,13.402,13.402,-4.87%
01-04-1981,14.088,14.088,14.088,14.088,7.53%
01-03-1981,13.101,13.101,13.101,13.101,-2.31%
01-02-1981,13.411,13.411,13.411,13.411,5.85%
01-01-1981,12.67,12.67,12.67,12.67,2.09%
01-12-1980,12.411,12.411,12.411,12.411,-0.12%
01-11-1980,12.426,12.426,12.426,12.426,-0.02%
01-10-1980,12.429,12.429,12.429,12.429,5.01%
01-09-1980,11.836,11.836,11.836,11.836,9.21%
01-08-1980,10.838,10.838,10.838,10.838,5.74%
01-07-1980,10.25,10.25,10.25,10.25,8.66%
01-06-1980,9.433,9.433,9.433,9.433,-7.59%
01-05-1980,10.208,10.208,10.208,10.208,-4.77%
01-04-1980,10.719,10.719,10.719,10.719,-14.96%
01-03-1980,12.604,12.604,12.604,12.604,-0.75%
01-02-1980,12.699,12.699,12.699,12.699,14.30%
01-01-1980,11.11,11.11,11.11,11.11,6.93%
01-12-1979,10.39,10.39,10.39,10.39,-2.44%
01-11-1979,10.65,10.65,10.65,10.65,3.40%
01-10-1979,10.3,10.3,10.3,10.3,10.40%
01-09-1979,9.33,9.33,9.33,9.33,3.32%
01-08-1979,9.03,9.03,9.03,9.03,0.89%
01-07-1979,8.95,8.95,8.95,8.95,0.45%
01-06-1979,8.91,8.91,8.91,8.91,-3.68%
01-05-1979,9.25,9.25,9.25,9.25,0.76%
01-04-1979,9.18,9.18,9.18,9.18,0.66%
01-03-1979,9.12,9.12,9.12,9.12,0.22%
01-02-1979,9.1,9.1,9.1,9.1,0.00%
01-01-1979,9.1,9.1,9.1,9.1,1.00%
01-12-1978,9.01,9.01,9.01,9.01,2.27%
01-11-1978,8.81,8.81,8.81,8.81,1.97%
01-10-1978,8.64,8.64,8.64,8.64,2.61%
01-09-1978,8.42,8.42,8.42,8.42,0.12%
01-08-1978,8.41,8.41,8.41,8.41,-2.66%
01-07-1978,8.64,8.64,8.64,8.64,2.13%
01-06-1978,8.46,8.46,8.46,8.46,1.32%
01-05-1978,8.35,8.35,8.35,8.35,2.45%
01-04-1978,8.15,8.15,8.15,8.15,1.37%
01-03-1978,8.04,8.04,8.04,8.04,0.12%
01-02-1978,8.03,8.03,8.03,8.03,0.88%
01-01-1978,7.96,7.96,7.96,7.96,3.51%
01-12-1977,7.69,7.69,7.69,7.69,1.45%
01-11-1977,7.58,7.58,7.58,7.58,0.80%
01-10-1977,7.52,7.52,7.52,7.52,2.45%
01-09-1977,7.34,7.34,7.34,7.34,-0.81%
01-08-1977,7.4,7.4,7.4,7.4,0.95%
01-07-1977,7.33,7.33,7.33,7.33,0.69%
01-06-1977,7.28,7.28,7.28,7.28,-2.41%
01-05-1977,7.46,7.46,7.46,7.46,1.22%
01-04-1977,7.37,7.37,7.37,7.37,-1.21%
01-03-1977,7.46,7.46,7.46,7.46,0.95%
01-02-1977,7.39,7.39,7.39,7.39,2.50%
01-01-1977,7.21,7.21,7.21,7.21,4.95%
01-12-1976,6.87,6.87,6.87,6.87,-5.76%
01-11-1976,7.29,7.29,7.29,7.29,-1.62%
01-10-1976,7.41,7.41,7.41,7.41,-2.37%
01-09-1976,7.59,7.59,7.59,7.59,-2.32%
01-08-1976,7.77,7.77,7.77,7.77,-0.77%
01-07-1976,7.83,7.83,7.83,7.83,-0.38%
01-06-1976,7.86,7.86,7.86,7.86,-0.51%
01-05-1976,7.9,7.9,7.9,7.9,4.50%
01-04-1976,7.56,7.56,7.56,7.56,-2.20%
01-03-1976,7.73,7.73,7.73,7.73,-0.77%
01-02-1976,7.79,7.79,7.79,7.79,0.65%
01-01-1976,7.74,7.74,7.74,7.74,-3.25%
01-12-1975,8,8,8,8,-0.62%
01-11-1975,8.05,8.05,8.05,8.05,-1.11%
01-10-1975,8.14,8.14,8.14,8.14,-3.44%
01-09-1975,8.43,8.43,8.43,8.43,0.36%
01-08-1975,8.4,8.4,8.4,8.4,4.22%
01-07-1975,8.06,8.06,8.06,8.06,2.54%
01-06-1975,7.86,7.86,7.86,7.86,-2.48%
01-05-1975,8.06,8.06,8.06,8.06,-2.07%
01-04-1975,8.23,8.23,8.23,8.23,6.47%
01-03-1975,7.73,7.73,7.73,7.73,4.60%
01-02-1975,7.39,7.39,7.39,7.39,-1.47%
01-01-1975,7.5,7.5,7.5,7.5,0.94%
01-12-1974,7.43,7.43,7.43,7.43,-3.26%
01-11-1974,7.68,7.68,7.68,7.68,-2.78%
01-10-1974,7.9,7.9,7.9,7.9,-1.74%
01-09-1974,8.04,8.04,8.04,8.04,0.00%
01-08-1974,8.04,8.04,8.04,8.04,2.94%
01-07-1974,7.81,7.81,7.81,7.81,3.58%
01-06-1974,7.54,7.54,7.54,7.54,-0.53%
01-05-1974,7.58,7.58,7.58,7.58,0.93%
01-04-1974,7.51,7.51,7.51,7.51,4.16%
01-03-1974,7.21,7.21,7.21,7.21,3.59%
01-02-1974,6.96,6.96,6.96,6.96,-0.43%
01-01-1974,6.99,6.99,6.99,6.99,3.71%
01-12-1973,6.74,6.74,6.74,6.74,0.15%
01-11-1973,6.73,6.73,6.73,6.73,-0.88%
01-10-1973,6.79,6.79,6.79,6.79,-4.23%
01-09-1973,7.09,7.09,7.09,7.09,-4.19%
01-08-1973,7.4,7.4,7.4,7.4,3.79%
01-07-1973,7.13,7.13,7.13,7.13,3.33%
01-06-1973,6.9,6.9,6.9,6.9,0.73%
01-05-1973,6.85,6.85,6.85,6.85,2.70%
01-04-1973,6.67,6.67,6.67,6.67,-0.60%
01-03-1973,6.71,6.71,6.71,6.71,1.05%
01-02-1973,6.64,6.64,6.64,6.64,2.79%
01-01-1973,6.46,6.46,6.46,6.46,1.57%
01-12-1972,6.36,6.36,6.36,6.36,1.27%
01-11-1972,6.28,6.28,6.28,6.28,-3.09%
01-10-1972,6.48,6.48,6.48,6.48,-1.07%
01-09-1972,6.55,6.55,6.55,6.55,5.48%
01-08-1972,6.21,6.21,6.21,6.21,1.64%
01-07-1972,6.11,6.11,6.11,6.11,0.00%
01-06-1972,6.11,6.11,6.11,6.11,-0.33%
01-05-1972,6.13,6.13,6.13,6.13,-0.97%
01-04-1972,6.19,6.19,6.19,6.19,1.98%
01-03-1972,6.07,6.07,6.07,6.07,-0.16%
01-02-1972,6.08,6.08,6.08,6.08,2.18%
01-01-1972,5.95,5.95,5.95,5.95,0.34%
